#rank      cc Fish-z  rel-z        x        y        z    a11    a12    a13    a21    a22    a23    a31    a32    a33
143     0.756  0.986 110.200   19.834   36.458  -30.087 -0.896 -0.258  0.362 -0.258 -0.362 -0.896  0.362 -0.896  0.258
144     0.755  0.985 110.056   53.834   -8.542   27.913  0.258  0.362 -0.896  0.362 -0.896 -0.258 -0.896 -0.258 -0.362
145     0.755  0.984 109.960   49.834   -6.542    8.913  0.362  0.258 -0.896 -0.258 -0.896 -0.362 -0.896  0.362 -0.258
146     0.754  0.983 109.884  -57.166   23.458   10.913 -0.896  0.258 -0.362  0.258 -0.362 -0.896 -0.362 -0.896  0.258
147     0.754  0.983 109.847  -58.166   23.458   17.913 -0.362  0.258 -0.896  0.258 -0.896 -0.362 -0.896 -0.362  0.258
148     0.754  0.982 109.797  -46.166  -37.542   -2.087 -0.548 -0.548 -0.632  0.184 -0.816  0.548 -0.816  0.184  0.548
149     0.754  0.981 109.643  -14.166   56.458   28.913  0.184 -0.816 -0.548 -0.816  0.184 -0.548  0.548  0.548 -0.632
150     0.753  0.980 109.539  -35.166  -43.542   22.913  0.548  0.184  0.816  0.548 -0.816 -0.184  0.632  0.548 -0.548
151     0.752  0.979 109.367    9.834   52.458   10.913 -0.632 -0.548  0.548 -0.548 -0.184 -0.816  0.548 -0.816 -0.184
152     0.752  0.978 109.279   41.834  -26.542   24.913  0.000  0.604 -0.797 -0.000 -0.797 -0.604 -1.000  0.000  0.000
153     0.752  0.977 109.148   12.834   25.458   32.913  0.000  0.000 -1.000 -0.604 -0.797  0.000 -0.797  0.604  0.000
154     0.752  0.977 109.142  -48.166   10.458   27.913 -0.797  0.000  0.604 -0.604  0.000 -0.797  0.000 -1.000  0.000
155     0.751  0.976 109.047    3.834  -68.542   14.913 -0.797  0.604  0.000  0.000  0.000  1.000  0.604  0.797  0.000
156     0.751  0.975 108.997   52.834   34.458    7.913  0.184  0.548 -0.816 -0.548 -0.632 -0.548 -0.816  0.548  0.184
157     0.750  0.973 108.727  -31.166  -41.542   21.913  0.604  0.000  0.797  0.000 -1.000  0.000  0.797  0.000 -0.604
158     0.749  0.972 108.602  -51.166   19.458   22.913  0.000  0.604 -0.797 -0.000 -0.797 -0.604 -1.000  0.000  0.000
159     0.749  0.972 108.597  -17.166   46.458   -1.087 -0.797  0.604  0.000  0.000  0.000 -1.000 -0.604 -0.797  0.000
160     0.749  0.971 108.460   30.834   34.458   41.913 -0.797  0.604  0.000  0.000  0.000 -1.000 -0.604 -0.797  0.000
161     0.749  0.970 108.417   12.834  -48.542   23.913 -1.000  0.000  0.000  0.000 -0.000 -1.000 -0.000 -1.000 -0.000
162     0.749  0.970 108.363  -54.166   24.458   14.913 -0.632 -0.548  0.548 -0.548 -0.184 -0.816  0.548 -0.816 -0.184
163     0.748  0.970 108.347  -47.166   28.458    1.913  0.604  0.000  0.797  0.000 -1.000  0.000  0.797  0.000 -0.604
164     0.748  0.969 108.342   47.834  -29.542   -0.087 -0.548 -0.184 -0.816  0.548 -0.816 -0.184 -0.632 -0.548  0.548
165     0.748  0.968 108.158   50.834   32.458   12.913 -0.896  0.362 -0.258  0.362  0.258 -0.896 -0.258 -0.896 -0.362
166     0.747  0.967 108.043   46.834   37.458    9.913 -0.816 -0.548 -0.184 -0.184  0.548 -0.816  0.548 -0.632 -0.548
